kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
祉,シ,shi,,,welfare; happiness;,1,シ…
私,シ,shi,わたくし わたし,watakushi watashi ,private; I; me;,3,シ…わたくし わたし
糸,シ,shi,いと,ito ,thread;,2,シ…いと
紙,シ,shi,かみ,kami ,paper;,3,シ…かみ
紫,シ,shi,むらさき,murasaki ,purple; violet;,1,シ…むらさき
肢,シ,shi,,,limb; arms & legs;,1,シ…
脂,シ,shi,あぶら,abura ,fat; grease; tallow; lard; rosin; gum; tar;,2,シ…あぶら
至,シ,shi,いたる,itaru ,climax; arrive; proceed; reach; attain; result in;,1,シ…いたる
視,シ,shi,みる,miru ,inspection; regard as; see; look at;,1,シ…みる
詞,シ,shi,,,part of speech; words; poetry;,2,シ…
詩,シ,shi,,,poem; poetry;,1,シ…
試,シ,shi,こころみる ためす,kokoromiru tamesu ,test; try; attempt; experiment; ordeal;,3,シ…こころみる ためす
誌,シ,shi,,,document; records;,2,シ…
諮,シ,shi,はかる,hakaru ,consult with;,1,シ…はかる
資,シ,shi,,,assets; resources; capital; funds; data; be conducive to; contribute to;,2,シ…
賜,シ,shi,たまわる たまう たもう,tamawaru tamau tamou ,grant; gift; boon; results;,1,シ…たまわる たまう たもう
雌,シ,shi,め- めす めん,me mesu men ,feminine; female;,1,シ…め- めす めん
飼,シ,shi,かう,kau ,domesticate; raise; keep; feed;,1,シ…かう
歯,シ,shi,よわい は よわい よわいする,yowai ha yowai yowaisuru ,tooth; cog;,2,シ…よわい は よわい よわいする
事,ジ ズ,zi zu,こと つかう つかえる,koto tsukau tsukaeru ,matter; thing; fact; business; reason; possibly;,3,ジ ズ…こと つかう つかえる
似,ジ,zi,にる ひる,niru hiru ,becoming; resemble; counterfeit; imitate; suitable;,2,ジ…にる ひる
侍,ジ シ,zi shi,さむらい はべる,samurai haberu ,waiter; samurai; wait upon; serve;,1,ジ シ…さむらい はべる
児,ジ ニ ゲイ,zi ni gei,こ,ko ,newborn babe; child; young of animals;,2,ジ ニ ゲイ…こ
字,ジ,zi,あざ あざな,aza azana ,character; letter; word; section of village;,3,ジ…あざ あざな
寺,ジ,zi,てら,tera ,Buddhist temple;,2,ジ…てら
慈,ジ,zi,いつくしむ,itsukushimu ,mercy;,1,ジ…いつくしむ
持,ジ,zi,もつ もてる,motsu moteru ,hold; have;,3,ジ…もつ もてる
時,ジ,zi,とき,toki ,time; hour;,4,ジ…とき
次,ジ シ,zi shi,つぐ つぎ,tsugu tsugi ,next; order; sequence;,2,ジ シ…つぐ つぎ
滋,ジ,zi,,,nourishing; more & more; be luxuriant; planting; turbidity;,1,ジ…
治,ジ チ,zi chi,おさめる おさまる なおる なおす,osameru osamaru naoru naosu ,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve;,2,ジ チ…おさめる おさまる なおる なおす
爾,ジ ニ,zi ni,なんじ しかり その のみ,nanji shikari sono nomi ,you; thou; second person;,1,ジ ニ…なんじ しかり その のみ
璽,ジ,zi,,,emperors seal;,1,ジ…
磁,ジ,zi,,,magnet; porcelain;,1,ジ…
示,ジ シ,zi shi,しめす,shimesu ,show; indicate; point out; express; display;,2,ジ シ…しめす
耳,ジ,zi,みみ,mimi ,ear;,2,ジ…みみ
自,ジ シ,zi shi,みずから おのずから おのずと,mizukara onozukara onozuto ,oneself;,3,ジ シ…みずから おのずから おのずと
辞,ジ,zi,やめる,yameru ,resign; word; term; expression;,2,ジ…やめる
汐,セキ,seki,しお うしお せい,shio ushio sei ,eventide; tide; salt water; opportunity;,1,セキ…しお うしお せい
鹿,ロク,roku,しか か,shika ka ,deer;,1,ロク…しか か
式,シキ,shiki,,,style; ceremony; rite; fn; method; system; form; expr;,2,シキ…
識,シキ,shiki,,,discriminating; know; write;,1,シキ…
軸,ジク,ziku,,,axis; pivot; stem; stalk; counter for book scrolls;,1,ジク…
七,シチ,shichi,なな ななつ なの,nana nanatsu nano ,seven;,4,シチ…なな ななつ なの
叱,シツ シチ,shitsu shichi,しかる,shikaru ,scold; reprove;,1,シツ シチ…しかる
執,シツ シュウ,shitsu syuu,とる,toru ,tenacious; take hold; grasp; take to heart;,1,シツ シュウ…とる
失,シツ,shitsu,うしなう うせる,ushinau useru ,lose; error; fault; disadvantage; loss;,2,シツ…うしなう うせる
室,シツ,shitsu,むろ,muro ,room; apartment; chamber; greenhouse; cellar;,3,シツ…むろ
湿,シツ シュウ,shitsu syuu,しめる しめす うるおう うるおす,shimeru shimesu uruou uruosu ,damp; wet; moist;,2,シツ シュウ…しめる しめす うるおう うるおす
漆,シツ,shitsu,うるし,urushi ,lacquer; varnish; seven;,1,シツ…うるし
疾,シツ,shitsu,,,rapidly;,1,シツ…
質,シツ シチ チ,shitsu shichi chi,たち ただす もと わりふ,tachi tadasu moto warifu ,substance; quality; matter; temperament;,3,シツ シチ チ…たち ただす もと わりふ
実,ジツ シツ,zitsu shitsu,み みのる まこと まことに みの みちる,mi minoru makoto makotoni mino michiru ,reality; truth;,2,ジツ シツ…み みのる まこと まことに みの みちる
芝,シ,shi,しば,shiba ,turf; lawn;,1,シ…しば
舎,シャ セキ,sya seki,やどる,yadoru ,cottage; inn; hut; house; mansion;,1,シャ セキ…やどる
写,シャ ジャ,sya zya,うつす うつる うつ- うつし,utsusu utsuru utsu utsushi ,copy; be photographed; describe;,3,シャ ジャ…うつす うつる うつ- うつし
射,シャ,sya,いる さす,iru sasu ,shoot; shine into; onto; archery;,1,シャ…いる さす
捨,シャ,sya,すてる,suteru ,discard; throw away; abandon; resign; reject; sacrifice;,2,シャ…すてる
赦,シャ,sya,,,pardon; forgiveness;,1,シャ…
斜,シャ,sya,ななめ はす,naname hasu ,diagonal; slanting; oblique;,1,シャ…ななめ はす
煮,シャ,sya,にる にえる にやす,niru nieru niyasu ,boil; cook;,1,シャ…にる にえる にやす
社,シャ,sya,やしろ,yashiro ,company; firm; office; association; shrine;,3,シャ…やしろ
紗,サ シャ,sa sya,うすぎぬ,usuginu ,gauze; gossamer;,1,サ シャ…うすぎぬ
者,シャ,sya,もの,mono ,someone; person;,3,シャ…もの
謝,シャ,sya,あやまる,ayamaru ,apologize; thank; refuse;,1,シャ…あやまる
車,シャ,sya,くるま,kuruma ,car;,4,シャ…くるま
遮,シャ,sya,さえぎる,saegiru ,intercept; interrupt; obstruct;,1,シャ…さえぎる
蛇,ジャ ダ イ ヤ,zya da i ya,へび,hebi ,snake; serpent; hard drinker;,1,ジャ ダ イ ヤ…へび
邪,ジャ,zya,よこしま,yokoshima ,wicked; injustice; wrong;,1,ジャ…よこしま
借,シャク,syaku,かりる,kariru ,borrow; rent;,3,シャク…かりる
勺,シャク,syaku,,,ladle; one tenth of a go; dip;,1,シャク…
尺,シャク,syaku,,,shaku; Japanese foot; measure; scale; rule;,1,シャク…
爵,シャク,syaku,,,baron; peerage; court rank;,1,シャク…
酌,シャク,syaku,くむ,kumu ,bartending; serving sake; the host; draw (water); ladle; scoop; pump;,1,シャク…くむ
釈,シャク セキ,syaku seki,とく すてる ゆるす,toku suteru yurusu ,explanation;,1,シャク セキ…とく すてる ゆるす
若,ジャク ニャク ニャ,zyaku niku ninull,わかい わか- もしくわ もし もしくは,wakai waka moshikuwa moshi moshikuha ,young; if; perhaps; possibly; low number; immature;,2,ジャク ニャク ニャ…わかい わか- もしくわ もし もしくは
寂,ジャク セキ,zyaku seki,さび さびしい さびれる さみしい,sabi sabishii sabireru samishii ,loneliness; quietly; mellow; mature; death of a priest;,1,ジャク セキ…さび さびしい さびれる さみしい
弱,ジャク,zyaku,よわい よわる よわまる よわめる,yowai yowaru yowamaru yowameru ,weak; frail;,2,ジャク…よわい よわる よわまる よわめる
主,シュ ス シュウ,syu su syuu,ぬし おも あるじ,nushi omo aruji ,lord; chief; master; main thing; principal;,3,シュ ス シュウ…ぬし おも あるじ
取,シュ,syu,とる とり とり- とり,toru tori tori tori ,take; fetch; take up;,2,シュ…とる とり とり- とり
守,シュ ス,syu su,まもる まもり もり かみ,mamoru mamori mori kami ,guard; protect; defend; obey;,2,シュ ス…まもる まもり もり かみ
手,シュ ズ,syu zu,て て- た-,te te ta ,hand;,3,シュ ズ…て て- た-
朱,シュ,syu,あけ,ake ,vermilion; cinnabar; scarlet; red; bloody;,1,シュ…あけ
殊,シュ,syu,こと,koto ,particularly; especially; exceptionally;,1,シュ…こと
狩,シュ,syu,かる かり,karu kari ,hunt; raid; gather;,1,シュ…かる かり
珠,シュ,syu,たま,tama ,pearl; gem; jewel;,1,シュ…たま
種,シュ,syu,たね,tane ,species; kind; class; variety; seed;,2,シュ…たね
趣,シュ,syu,おもむき おもむく,omomuki omomuku ,gist; proceed to; tend; become;,1,シュ…おもむき おもむく
酒,シュ,syu,さけ さか-,sake saka ,sake; alcohol;,2,シュ…さけ さか-
首,シュ,syu,くび,kubi ,neck;,2,シュ…くび
儒,ジュ,zyu,,,Confucian;,1,ジュ…
受,ジュ,zyu,うける うかる,ukeru ukaru ,accept; undergo; answer (phone); take; get; catch; receive;,2,ジュ…うける うかる
寿,ジュ ス シュウ,zyu su syuu,ことぶき ことぶく ことほぐ,kotobuki kotobuku kotohogu ,longevity; congratulations; ones natural life;,1,ジュ ス シュウ…ことぶき ことぶく ことほぐ
授,ジュ,zyu,さずける さずかる,sazukeru sazukaru ,impart; instruct; grant; confer;,1,ジュ…さずける さずかる
樹,ジュ,zyu,き,ki ,timber trees; wood;,1,ジュ…き
需,ジュ,zyu,,,demand; request; need;,1,ジュ…
囚,シュウ,syuu,とらわれる,torawareru ,captured; criminal; arrest; catch;,1,シュウ…とらわれる
収,シュウ,syuu,おさめる おさまる,osameru osamaru ,income; obtain; reap; pay; supply; store;,2,シュウ…おさめる おさまる
周,シュウ,syuu,まわり,mawari ,circumference; circuit; lap;,2,シュウ…まわり
宗,シュウ ソウ,syuu sou,むね,mune ,religion; sect; denomination; main point; origin; essence;,1,シュウ ソウ…むね
就,シュウ ジュ,syuu zyu,つく つける,tsuku tsukeru ,concerning; settle; take position; depart; study; per;,1,シュウ ジュ…つく つける
州,シュウ ス,syuu su,す,su ,state; province;,2,シュウ ス…す
修,シュウ シュ,syuu syu,おさめる おさまる,osameru osamaru ,discipline; conduct oneself well; study; master;,1,シュウ シュ…おさめる おさまる
愁,シュウ,syuu,うれえる うれい,ureeru urei ,distress; grieve; lament; be anxious;,1,シュウ…うれえる うれい
拾,シュウ ジュウ,syuu zyuu,ひろう,hirou ,pick up; gather; find; go on foot; ten;,2,シュウ ジュウ…ひろう
秀,シュウ,syuu,ひいでる,hiideru ,excel; excellence; beauty; surpass;,1,シュウ…ひいでる
秋,シュウ,syuu,あき とき,aki toki ,autumn;,3,シュウ…あき とき
終,シュウ,syuu,おわる おわる おえる つい ついに,owaru owaru oeru tsui tsuini ,end; finish;,3,シュウ…おわる おわる おえる つい ついに
習,シュウ ジュ,syuu zyu,ならう ならい,narau narai ,learn;,3,シュウ ジュ…ならう ならい
臭,シュウ,syuu,くさい におう におい,kusai niou nioi ,stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright;,1,シュウ…くさい におう におい
舟,シュウ,syuu,ふね ふな-,fune funa ,boat; ship;,2,シュウ…ふね ふな-
衆,シュウ シュ,syuu syu,おおい,ooi ,masses; great numbers; multitude; populace;,1,シュウ シュ…おおい
襲,シュウ,syuu,おそう かさね,osou kasane ,attack; advance on; succeed to; pile; heap;,1,シュウ…おそう かさね
週,シュウ,syuu,,,week;,3,シュウ…
酬,シュウ シュ トウ,syuu syu tou,むくいる,mukuiru ,repay; reward; retribution;,1,シュウ シュ トウ…むくいる
集,シュウ,syuu,あつまる あつめる つどう,atsumaru atsumeru tsudou ,gather; meet; congregate; swarm; flock;,3,シュウ…あつまる あつめる つどう
醜,シュウ,syuu,みにくい しこ,minikui shiko ,ugly; unclean; shame; bad looking;,1,シュウ…みにくい しこ
住,ジュウ ヂュウ チュウ,zyuu dyuu tyuu,すむ すまう,sumu sumau ,dwell; reside; live; inhabit;,3,ジュウ ヂュウ チュウ…すむ すまう
充,ジュウ,zyuu,あてる みたす,ateru mitasu ,allot; fill;,1,ジュウ…あてる みたす
十,ジュウ ジッ ジュッ,zyuu zinull zyunull,とお と,too to ,ten;,4,ジュウ ジッ ジュッ…とお と
従,ジュウ ショウ ジュ,zyuu syou zyu,したがう したがえる より,shitagau shitagaeru yori ,accompany; obey; submit to; comply; follow; secondary; incidental; subordinate;,1,ジュウ ショウ ジュ…したがう したがえる より
柔,ジュウ ニュウ,zyuu niu,やわらか やわらかい やわ やわら,yawaraka yawarakai yawa yawara ,tender; weakness; gentleness; softness;,2,ジュウ ニュウ…やわらか やわらかい やわ やわら
汁,ジュウ,zyuu,しる つゆ,shiru tsuyu ,soup; juice; broth; sap; gravy; pus;,1,ジュウ…しる つゆ
渋,ジュウ シュウ,zyuu syuu,しぶ しぶい しぶる,shibu shibui shiburu ,astringent; hesitate; reluctant; have diarrhea;,1,ジュウ シュウ…しぶ しぶい しぶる
獣,ジュウ,zyuu,けもの けだもの,kemono kedamono ,animal; beast;,1,ジュウ…けもの けだもの
縦,ジュウ,zyuu,たて,tate ,vertical; length; height; self-indulgent; wayward;,1,ジュウ…たて
重,ジュウ チョウ,zyuu tyou,え おもい おもり おもなう かさねる かさなる おも,e omoi omori omonau kasaneru kasanaru omo ,heavy; heap up; pile up; nest of boxes; -fold;,3,ジュウ チョウ…え おもい おもり おもなう かさねる かさなる おも
銃,ジュウ,zyuu,,,gun; arms;,1,ジュウ…
叔,シュク,syuku,,,uncle; youth;,1,シュク…
宿,シュク,syuku,やど やどる やどす,yado yadoru yadosu ,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling;,2,シュク…やど やどる やどす
淑,シュク,syuku,しとやか,shitoyaka ,graceful; gentle; pure;,1,シュク…しとやか
祝,シュク シュウ,syuku syuu,いわう,iwau ,celebrate; congratulate;,2,シュク シュウ…いわう
縮,シュク,syuku,ちぢむ ちぢまる ちぢめる ちぢれる ちぢらす,chidimu chidimaru chidimeru chidireru chidirasu ,shrink; contract; shrivel; wrinkle; reduce;,1,シュク…ちぢむ ちぢまる ちぢめる ちぢれる ちぢらす
粛,シュク スク,syuku suku,つつしむ,tsutsushimu ,solemn; quietly; softly;,1,シュク スク…つつしむ
塾,ジュク,zyuku,,,cram school; private school;,1,ジュク…
熟,ジュク,zyuku,うれる,ureru ,mellow; ripen; mature; acquire skill;,1,ジュク…うれる
出,シュツ スイ,syutsu sui,でる だす いでる いだす,deru dasu ideru idasu ,exit; leave;,4,シュツ スイ…でる だす いでる いだす
術,ジュツ,zyutsu,すべ,sube ,art; technique; skill; means; trick; resources; magic;,2,ジュツ…すべ
述,ジュツ,zyutsu,のべる,noberu ,mention; state; speak; relate;,2,ジュツ…のべる
俊,シュン,syun,,,sagacious; genius; excellence;,1,シュン…
峻,シュン,syun,けわしい たかい,kewashii takai ,high; steep;,1,シュン…けわしい たかい
春,シュン,syun,はる,haru ,springtime; spring (season);,3,シュン…はる
瞬,シュン,syun,またたく,matataku ,wink; blink; twinkle;,1,シュン…またたく
駿,シュン スン,syun sun,すぐれる,sugureru ,a good horse; speed; a fast person;,1,シュン スン…すぐれる
准,ジュン,zyun,,,quasi-; semi-; associate;,1,ジュン…
循,ジュン,zyun,,,sequential; fellow;,1,ジュン…
旬,ジュン シュン,zyun syun,,,decameron; 10day period; season (for specific products;,1,ジュン シュン…
殉,ジュン,zyun,,,martyrdom; follow by resigning;,1,ジュン…
淳,ジュン シュン,zyun syun,あつい,atsui ,pure;,1,ジュン シュン…あつい
